case_id,model,file_path,filename,syntax_valid,syntax_error_message
repo_ff5e6e5_b07572e,Gemini,cases/repo_ff5e6e5_b07572e/llm_gemini_setup.py,llm_gemini_setup.py,Yes,None
repo_ff5e6e5_b07572e,GPT,cases/repo_ff5e6e5_b07572e/llm_setup.py,llm_setup.py,Yes,None
repo_ff5e6e5_b07572e,Claude,cases/repo_ff5e6e5_b07572e/llm_claude_setup.py,llm_claude_setup.py,Yes,None
repo_65175f3_5e4b354,Claude,cases/repo_65175f3_5e4b354/llm_claude_test.py,llm_claude_test.py,Yes,None
repo_65175f3_5e4b354,Gemini,cases/repo_65175f3_5e4b354/llm_gemini_test.py,llm_gemini_test.py,Yes,None
repo_65175f3_5e4b354,GPT,cases/repo_65175f3_5e4b354/llm_test.py,llm_test.py,Yes,None
repo_f098ec3_6a177c4,Claude,cases/repo_f098ec3_6a177c4/llm_claude_test.py,llm_claude_test.py,Yes,None
repo_f098ec3_6a177c4,Gemini,cases/repo_f098ec3_6a177c4/llm_gemini_test.py,llm_gemini_test.py,Yes,None
repo_f098ec3_6a177c4,GPT,cases/repo_f098ec3_6a177c4/llm_test.py,llm_test.py,Yes,None
repo_f098ec3_6a177c4,Claude,cases/repo_f098ec3_6a177c4/llm_claude_repository.py,llm_claude_repository.py,Yes,None
repo_f098ec3_6a177c4,GPT,cases/repo_f098ec3_6a177c4/llm_repository.py,llm_repository.py,Yes,None
repo_f098ec3_6a177c4,Gemini,cases/repo_f098ec3_6a177c4/llm_gemini_repository.py,llm_gemini_repository.py,Yes,None
repo_ee1fcfb_6ba50f3,Claude,cases/repo_ee1fcfb_6ba50f3/llm_claude_test.py,llm_claude_test.py,Yes,None
repo_ee1fcfb_6ba50f3,Gemini,cases/repo_ee1fcfb_6ba50f3/llm_gemini_test.py,llm_gemini_test.py,Yes,None
repo_ee1fcfb_6ba50f3,GPT,cases/repo_ee1fcfb_6ba50f3/llm_test.py,llm_test.py,Yes,None
repo_d71699d_79359ed,GPT,cases/repo_d71699d_79359ed/llm_helpers.py,llm_helpers.py,Yes,None
repo_d71699d_79359ed,Gemini,cases/repo_d71699d_79359ed/llm_gemini_helpers.py,llm_gemini_helpers.py,Yes,None
repo_d71699d_79359ed,Claude,cases/repo_d71699d_79359ed/llm_claude_helpers.py,llm_claude_helpers.py,Yes,None
repo_d71699d_79359ed,Gemini,cases/repo_d71699d_79359ed/llm_gemini_helper.py,llm_gemini_helper.py,Yes,None
